Symbol	logFC	logCPM	PValue	FDR
C1orf112	-0.83113732	3.47665399	9.33E-10	1.06E-08
GCLC	0.715236529	6.662395242	1.63E-20	5.10E-19
MYH16	3.501582656	1.783040327	1.06E-12	1.67E-11
MAD1L1	1.697761035	6.687211844	3.45E-84	1.34E-81
LASP1	-0.727807848	9.284203798	2.15E-24	8.73E-23
DBNDD1	0.71731847	4.491088015	3.62E-10	4.32E-09
SLC7A2	-0.940924983	4.568106043	1.07E-17	2.67E-16
PLXND1	-0.602106114	4.537517065	5.05E-08	4.59E-07
PDK4	-1.141062092	2.6816203	6.13E-11	7.94E-10
THSD7A	2.706952477	2.356600941	1.66E-36	1.47E-34
ACSM3	-1.805110716	0.997165064	7.88E-10	9.09E-09
FAM214B	1.039092159	4.589415961	7.04E-17	1.61E-15
BZRAP1	-1.181892605	3.407441443	5.36E-10	6.30E-09
ITGA3	1.412447451	9.332617731	1.63E-83	6.00E-81
TMEM98	-0.709973376	4.273999464	1.39E-09	1.54E-08
YBX2	-1.305029812	4.550346779	2.95E-22	1.04E-20
MAP3K14	0.81125381	5.528008109	6.91E-15	1.37E-13
TMEM132A	0.749398977	5.987853796	6.34E-14	1.13E-12
TNFRSF12A	0.759458392	6.932316364	1.36E-13	2.32E-12
RALA	0.532318177	7.068087334	9.73E-09	9.70E-08
BAIAP2L1	0.378158768	7.08649468	4.14E-07	3.28E-06
KDM7A	-0.856779431	6.207577315	9.18E-23	3.35E-21
ETV1	-1.33419142	4.530979445	1.36E-35	1.10E-33
PHTF2	-0.875307354	6.187626187	6.75E-19	1.91E-17
IFRD1	0.582103268	8.746279608	8.60E-15	1.68E-13
NOS2	-1.639719201	2.153178603	6.16E-15	1.23E-13
MYLIP	-1.227034456	3.258272387	1.23E-17	3.04E-16
JARID2	0.63224985	5.601334494	5.17E-10	6.09E-09
ADAM22	-0.947788574	6.06408883	2.74E-29	1.52E-27
SPAG9	0.623113109	8.539937658	1.94E-20	6.04E-19
MGST1	-0.859751429	2.970387191	1.51E-08	1.46E-07
IL32	4.842392404	3.44418716	9.54E-46	1.28E-43
MAPK8IP2	0.563689725	4.987404319	9.32E-07	6.86E-06
NCAPD2	-0.651066655	7.964633787	4.16E-21	1.36E-19
HIVEP2	0.535438048	6.812421511	3.48E-07	2.78E-06
LYPLA2	0.584822954	5.186809541	2.15E-09	2.34E-08
CLCN6	0.608775549	5.170288848	2.80E-07	2.26E-06
ABHD5	0.669054348	4.393014611	4.76E-09	4.96E-08
MBTD1	-0.652199226	5.471219564	2.13E-13	3.58E-12
PLAUR	2.15455852	6.985780904	7.25E-97	4.13E-94
TMEM159	1.178598163	4.31315961	1.02E-13	1.76E-12
GABRA3	-0.976408711	5.255983476	1.60E-24	6.55E-23
BRCA1	-0.680221136	6.388421214	7.77E-12	1.13E-10
SEMA3B	0.659264297	6.410021071	9.25E-08	8.09E-07
CLDN11	-0.991363748	7.226392825	3.52E-31	2.24E-29
MVP	1.093030756	3.94317271	7.01E-15	1.39E-13
DNASE1L1	0.581202768	4.750269841	1.43E-07	1.21E-06
GPRC5A	1.200318006	8.731600092	1.29E-26	6.06E-25
POLA2	-0.726562283	5.105507845	1.87E-12	2.87E-11
CAPN1	0.660352027	8.771557918	5.32E-24	2.10E-22
MTMR11	1.307686678	2.200033147	1.73E-09	1.91E-08
CHDH	-0.928128767	4.074157389	4.39E-14	7.96E-13
IGF1	-2.050575894	2.540848648	2.49E-29	1.39E-27
SYT13	-1.311710539	2.131453875	1.43E-11	2.00E-10
SNAI2	3.654013123	3.453853717	5.14E-77	1.64E-74
MRE11A	-0.986806889	6.075133646	9.32E-32	6.14E-30
PLEKHB1	-1.163776516	4.418713972	4.45E-24	1.77E-22
SERPINB1	0.820946038	7.152361877	2.18E-10	2.66E-09
OSBPL5	-0.468757955	5.290891847	1.03E-06	7.53E-06
FHL1	1.422611377	4.650243955	1.56E-32	1.08E-30
ALAS1	0.459031634	6.415570023	5.91E-08	5.32E-07
BIRC3	2.472791119	6.770280443	2.32E-67	5.93E-65
GCLM	0.752954239	6.23409513	1.35E-16	3.02E-15
EHD2	2.342642359	3.723548996	3.04E-51	4.95E-49
DEPDC1	-0.687598903	5.671330449	1.78E-11	2.46E-10
NR1H3	-0.757648929	3.386017421	3.52E-08	3.27E-07
NCAPH2	-0.535390854	4.483317687	1.14E-06	8.27E-06
TOMM34	0.72071681	6.993771247	2.34E-18	6.26E-17
VIM	1.246710474	9.749188202	8.15E-45	1.03E-42
FAS	0.762760773	5.787148853	1.31E-10	1.65E-09
CD44	0.789364041	8.334677993	6.50E-19	1.85E-17
HMGB3	-0.488372002	6.385762109	3.36E-09	3.56E-08
NUP160	-0.462574589	7.104619562	5.27E-08	4.78E-07
ARHGAP31	1.11077102	3.828634667	1.37E-11	1.93E-10
CENPQ	-0.781898599	3.353768498	3.27E-08	3.05E-07
CHPF2	0.527118958	5.312128917	1.75E-07	1.45E-06
GAB2	0.673375073	5.626403437	1.95E-09	2.12E-08
MAP2K3	0.999801636	6.810150235	5.29E-36	4.41E-34
TIMP2	0.678186078	8.973266129	2.29E-24	9.24E-23
TRIO	0.60292495	7.414645023	1.90E-07	1.56E-06
CDH1	0.631207364	5.890800569	4.18E-13	6.78E-12
FAM65A	0.771388099	6.468745652	1.32E-17	3.24E-16
PQLC2	0.891545745	4.043146009	4.28E-12	6.40E-11
CTNS	0.758422244	4.68920108	1.25E-08	1.22E-07
RTN4R	0.983968969	2.842054869	4.84E-09	5.04E-08
RAB27B	1.514614229	1.612256544	2.70E-09	2.90E-08
TNC	4.303691471	5.294051238	2.38E-175	1.14E-171
AIFM2	0.484388653	5.858050831	1.28E-07	1.10E-06
RETSAT	0.520911733	5.386839665	3.77E-08	3.48E-07
CAPG	1.150955694	6.764582117	4.15E-30	2.47E-28
HSPA5	0.620338887	9.236187902	1.14E-17	2.82E-16
MAP4	0.402357173	8.413056669	7.07E-08	6.27E-07
USP28	-0.409817247	6.49189743	4.73E-07	3.70E-06
